,Unnamed: 0,CASENUM,non_motorist,CASENUM_VEH_NO,distraction,region,weight,person involved,age,sex,alcohol,dow,hr,interstate hwy,population class,collision,injury,min,month,specific location,relation to road,intersection type,work zone,year,speed,speed limit,crash type,make,lanes,vehicle occupants,area of impact,distracted_binary
3227,3227,201011173454.0,0,201011173454.01.0,0.0,1.0,27.136999999999997,1.0,over_65,F,95.0,3.0,afternoon,0.0,8.0,rear_end,non_incap,55.0,5.0,3.0,roadway,3.0,0.0,2010.0,998.0,45_55,29.0,49.0,1.0,1,26.0,0
3228,3228,201011173454.0,0,201011173454.02.0,12.0,1.0,27.136999999999997,1.0,25_34,F,95.0,3.0,afternoon,0.0,8.0,rear_end,non_incap,55.0,5.0,3.0,roadway,3.0,0.0,2010.0,998.0,45_55,28.0,6.0,1.0,1,26.0,1
3229,3229,201011173455.0,0,201011173455.01.0,0.0,1.0,54.273,1.0,45_64,M,95.0,4.0,night,0.0,8.0,angle,non_incap,29.0,5.0,2.0,roadway,7.0,0.0,2010.0,998.0,25_35,72.0,12.0,8.0,1,30.0,0
3230,3230,201011173455.0,0,201011173455.02.0,0.0,1.0,54.273,1.0,15_24,F,97.0,4.0,night,0.0,8.0,angle,non_incap,29.0,5.0,2.0,roadway,7.0,0.0,2010.0,998.0,25_35,73.0,7.0,8.0,2,55.0,0
3231,3231,201011173455.0,0,201011173455.03.0,0.0,1.0,54.273,1.0,15_24,F,95.0,4.0,night,0.0,8.0,angle,non_incap,29.0,5.0,2.0,roadway,7.0,0.0,2010.0,998.0,25_35,98.0,20.0,8.0,1,97.0,0
3232,3232,201011173461.0,0,201011173461.01.0,0.0,1.0,298.504,1.0,15_24,M,96.0,5.0,afternoon,0.0,8.0,side_swipe,none,43.0,5.0,8.0,roadway,0.0,0.0,2010.0,0.0,25_35,48.0,20.0,2.0,1,27.0,0
3233,3233,201011173461.0,0,201011173461.02.0,0.0,1.0,298.504,1.0,15_24,M,96.0,5.0,afternoon,0.0,8.0,side_swipe,none,43.0,5.0,8.0,roadway,0.0,0.0,2010.0,998.0,25_35,48.0,12.0,2.0,1,55.0,0
3234,3234,201011173473.0,0,201011173473.01.0,0.0,1.0,298.504,1.0,15_24,M,96.0,5.0,night,0.0,8.0,rear_end,none,53.0,6.0,3.0,roadway,0.0,0.0,2010.0,998.0,25_35,29.0,37.0,2.0,1,26.0,0
3235,3235,201011173473.0,0,201011173473.02.0,97.0,1.0,298.504,1.0,45_64,F,96.0,5.0,night,0.0,8.0,rear_end,none,53.0,6.0,3.0,roadway,0.0,0.0,2010.0,998.0,25_35,28.0,37.0,2.0,1,26.0,1
3236,3236,201011173477.0,0,201011173477.01.0,0.0,1.0,135.684,1.0,over_65,M,96.0,1.0,afternoon_rush,0.0,8.0,rear_end,none,7.0,6.0,5.0,roadway,0.0,0.0,2010.0,0.0,15_25,98.0,12.0,8.0,1,26.0,0
3237,3237,201011173477.0,0,201011173477.02.0,0.0,1.0,135.684,1.0,45_64,M,96.0,1.0,afternoon_rush,0.0,8.0,rear_end,none,7.0,6.0,5.0,roadway,0.0,0.0,2010.0,0.0,15_25,21.0,2.0,8.0,1,26.0,0
